ID,IsSoftwareDev,Age,Gender,BootcampName,BootcampFinish,BootcampLoan,BootcampRecommend,HoursLearning,MonthsProgramming,CityPopulation,CodeEvents,PodcastsListen,ResourcesUse,SchoolDegree
ce904d07f0b57291b9645a776bb21081,0,28,female,Other,0,0,1,50,6,"<100,000",1,2,6,Bachelor's and Higher
ce791a050b8d7f97d194c463319e54e1,1,22,female,Dev Bootcamp,1,1,1,10,15,>1 million,2,2,2,Bachelor's and Higher
ce1c1321ef8e22c0a11fe3744b618cd8,0,32,male,Other,1,1,1,10,6,>1 million,2,0,2,Less than Bachelor's
cdeb00f20d47d0a4a38fc0159bacc654,0,31,,General Assembly,1,0,0,20,6,"100,000 - 1 million",3,1,2,Bachelor's and Higher
cd1e95f2079c8b4aba0e5e81f9dc7b26,0,51,male,Other,1,0,0,20,24,"<100,000",1,1,4,Bachelor's and Higher
ccf6aa06189cb082ba95d5444fcc77ef,1,,,Other,1,1,1,1,14,,0,0,1,
cc999666187ee4e3d38fdf1dfc0c6081,0,25,male,Other,0,0,1,60,2,>1 million,1,1,1,Bachelor's and Higher
cc88ba625323fe1186ea035db86e9a71,1,,,Other,0,1,1,7,12,,2,1,7,
cc77f5b535583f57b19f6383eeb31e76,1,29,male,Dev Bootcamp,1,1,1,10,12,>1 million,2,0,4,Bachelor's and Higher
cc3f13759621415c28fda993e9068080,1,47,male,Other,0,0,1,20,36,"100,000 - 1 million",1,0,7,Less than Bachelor's
cc388a5f092b5f16ba8899c928e278d8,1,27,female,Other,1,1,1,4,24,>1 million,2,1,3,Bachelor's and Higher
cb7fc920714a497f171c385802d2efc1,1,,,Hack Reactor,1,1,1,75,12,,3,3,5,
cb299d35079a71319c26804f851d9ba1,1,27,female,Other,0,0,1,20,7,>1 million,3,0,6,Bachelor's and Higher
ca97bfb128e3fc39543198ba00468722,0,50,male,Other,1,1,1,30,9,"100,000 - 1 million",0,0,3,Bachelor's and Higher
ca651eb8794b1839735fd80f21837b54,0,43,male,Other,1,0,0,5,24,>1 million,2,0,4,Less than Bachelor's
ca33d9536f6c546b62705aa45051e60c,1,29,female,Flatiron School,1,0,1,6,22,>1 million,5,1,7,Bachelor's and Higher
